품목코드,품명,로트번호,제품라인,제조일자,상태,통번호,통용량,현재위치
3KKMMSK-020,하이디 바이 블랑두부 스노우 밀크패드_임가공_벌크(사급),EI001,사급(무상),2025-09-25,잔량(무상),3,954.0,5층-A1
3CABESS-001,화이테오라 멜라 화이브디 세럼 사셰 임가공_벌크(사급),25J0003,사급(무상),2025-10-24,잔량(무상),1,7.0,6층-A1
3IPLMSK-001,스킨푸드 캐롯 카로틴 마스크 7매입_벌크(사급),251107-1/7BP1,사급(무상),2025-11-07,잔량(무상),1,0.0,소진
3IPLMSK-001,스킨푸드 캐롯 카로틴 마스크 7매입_벌크(사급),251107-1/7BP1,사급(무상),2025-11-07,잔량(무상),2,0.0,소진
3IPLMSK-001,스킨푸드 캐롯 카로틴 마스크 7매입_벌크(사급),251107-1/7BP1,사급(무상),2025-11-07,잔량(무상),3,748.8,4층-A1
3IPLMSK-001,스킨푸드 캐롯 카로틴 마스크 7매입_벌크(사급),251107-2/7BP2,사급(무상),2025-11-07,잔량(무상),1,0.0,소진
3IPLMSK-001,스킨푸드 캐롯 카로틴 마스크 7매입_벌크(사급),251107-2/7BP2,사급(무상),2025-11-07,잔량(무상),2,792.0,4층-A1
3IPLMSK-001,스킨푸드 캐롯 카로틴 마스크 7매입_벌크(사급),251107-2/7BP2,사급(무상),2025-11-07,잔량(무상),3,750.8,4층-A1
3OLIMSK-023,성분에디터 그린토마토엠엔엔포어미니마이징앰플마스크_벌크,2E050K,etc.,2025-11-10,외주,1,680.0,외주
3OLIMSK-023,성분에디터 그린토마토엠엔엔포어미니마이징앰플마스크_벌크,2E050K,etc.,2025-11-10,외주,2,680.0,외주
3OLIMSK-023,성분에디터 그린토마토엠엔엔포어미니마이징앰플마스크_벌크,2E050K,etc.,2025-11-10,외주,3,680.0,외주
3VTCMSK-067,VT 피디알엔 마스크(30EA)_벌크,2E047K,etc.,2025-11-10,잔량,1,0.0,소진
3VTCMSK-067,VT 피디알엔 마스크(30EA)_벌크,2E047K,etc.,2025-11-10,잔량,2,0.0,소진
3VTCMSK-067,VT 피디알엔 마스크(30EA)_벌크,2E047K,etc.,2025-11-10,잔량,3,0.0,소진
3VTCMSK-067,VT 피디알엔 마스크(30EA)_벌크,2E047K,etc.,2025-11-10,잔량,4,0.0,소진
3VTCMSK-067,VT 피디알엔 마스크(30EA)_벌크,2E047K,etc.,2025-11-10,잔량,5,0.0,소진
3VTCMSK-067,VT 피디알엔 마스크(30EA)_벌크,2E047K,etc.,2025-11-10,잔량,6,200.0,5층-A1
3TFDMSK-003,아누아 아젤라익애씨드 시카 세럼 데일리 마스크＿벌크,2E049K,etc.,2025-11-10,잔량,1,0.0,소진
3TFDMSK-003,아누아 아젤라익애씨드 시카 세럼 데일리 마스크＿벌크,2E049K,etc.,2025-11-10,잔량,2,0.0,소진
